Id,station_nom,velos_disponibles,nombre_emplacements,timecode jour,timecode heure
1,54 La Corniche,3,8,2026-07-01,17:13:06
2,10 Porte Maubec,3,8,2026-07-01,17:13:06
3,11 Porte Dauphine,5,8,2026-07-01,17:13:06
4,20 Faculté de Sciences 2,6,10,2026-07-01,17:13:06
5,05 Place de Verdun,7,8,2026-07-01,17:13:06
6,26 Maison de la Charente-Maritime,0,10,2026-07-01,17:13:06
7,04 Marché,2,8,2026-07-01,17:13:06
8,16 Gare 2,6,14,2026-07-01,17:13:06
9,06 Maison de la Mobilité 1,7,10,2026-07-01,17:13:06
10,08 Vieux Port 1,9,14,2026-07-01,17:13:06
11,03 Arsenal 1,2,8,2026-07-01,17:13:06
12,21 Technoforum 1,1,8,2026-07-01,17:13:06
13,15 Office de tourisme (Simenon) 2,6,8,2026-07-01,17:13:06
14,24 EIGSI 1,3,8,2026-07-01,17:13:06
15,13 Médiathèque Michel Crépeau 1,5,8,2026-07-01,17:13:06
16,16 Gare 1,7,14,2026-07-01,17:13:06
17,22 Porte de Cougnes,2,10,2026-07-01,17:13:06
18,14 Bibliothèque Universitaire 1,3,14,2026-07-01,17:13:06
19,07 Préfecture,6,10,2026-07-01,17:13:06
20,25 IUT 2,1,8,2026-07-01,17:13:06
21,02 Quai Valin 1,4,8,2026-07-01,17:13:06
22,23 Place Cacaud 1,2,6,2026-07-01,17:13:06
23,25 IUT 1,1,8,2026-07-01,17:13:06
24,20 Plage des Minimes 4,0,10,2026-07-01,17:13:06
25,12 Piscine,5,10,2026-07-01,17:13:06
26,09 Office de Tourisme (Gabut) 1,6,10,2026-07-01,17:13:06
27,60 Commissariat,6,8,2026-07-01,17:13:06
28,104 Office de Tourisme de Châtelaillon,1,8,2026-07-01,17:13:06
29,108 Vaucanson,6,14,2026-07-01,17:13:06
30,28 Maison du Port La Pallice,3,8,2026-07-01,17:13:06
31,29 Mairie Annexe de Laleu,5,8,2026-07-01,17:13:06
32,30 Ludothèque de Mireuil,2,8,2026-07-01,17:13:06
33,31 Mairie Annexe de Mireuil,8,10,2026-07-01,17:13:06
34,32 Place St Maurice,4,10,2026-07-01,17:13:06
35,33 Marché de Port Neuf,6,8,2026-07-01,17:13:06
36,34 Maison de l'Emploi,3,8,2026-07-01,17:13:06
37,37 Plage de la Concurrence 1,8,10,2026-07-01,17:13:06
38,37 Plage de la Concurrence 2,2,10,2026-07-01,17:13:06
39,39 Lycée Vieljeux,3,10,2026-07-01,17:13:06
40,40 Cité Administrative Mangin,6,10,2026-07-01,17:13:06
41,42 LEP de Rompsay,5,12,2026-07-01,17:13:06
42,43 Mairie Annexe de Villeneuve,5,8,2026-07-01,17:13:06
43,44 Centre Cial. de Villeneuve,4,8,2026-07-01,17:13:06
44,45 Parking Jean-Moulin,6,14,2026-07-01,17:13:06
45,46 Eglise de Tasdon,3,8,2026-07-01,17:13:06
46,21 Technoforum 2,4,8,2026-07-01,17:13:06
47,48 Plage des Minimes 1,1,10,2026-07-01,17:13:06
48,48 Plage des Minimes 2,1,6,2026-07-01,17:13:06
49,24 EIGSI 2,2,8,2026-07-01,17:13:06
50,51 Gymnase Universitaire 1,5,12,2026-07-01,17:13:06
51,102 Centre Aquatique de Châtelaillon,7,12,2026-07-01,17:13:06
52,38 Parc Franck Delmas,5,8,2026-07-01,17:13:06
53,53 Les Parcs,5,8,2026-07-01,17:13:06
54,52 Port de Pêche,5,10,2026-07-01,17:13:06
55,36 Eglise de La Genette,3,8,2026-07-01,17:13:06
56,109 P+R Simone Veil,4,14,2026-07-01,17:13:06
57,13 Médiathèque Michel Crépeau 2,5,8,2026-07-01,17:13:06
58,08 Vieux Port 2,9,14,2026-07-01,17:13:06
59,47 Institut Confucius de Chine,5,12,2026-07-01,17:13:06
60,20 Faculté de Sciences 3,2,10,2026-07-01,17:13:06
61,59 Place de Lafond,3,9,2026-07-01,17:13:06
62,03 Arsenal 2,1,8,2026-07-01,17:13:06
63,02 Quai valin 2,0,8,2026-07-01,17:13:06
64,14 Bibliothèque Universitaire 2,5,10,2026-07-01,17:13:06
65,21 Technoforum 3,5,8,2026-07-01,17:13:06
66,09 Office de Tourisme (Gabut) 2,5,10,2026-07-01,17:13:06
67,06 Maison de la Mobilité 2,4,10,2026-07-01,17:13:06
68,24 Plage des Minimes 3,0,8,2026-07-01,17:13:06
69,51 Gymnase Universitaire 2,2,8,2026-07-01,17:13:06
70,15 Office de tourisme (Simenon) 1,5,12,2026-07-01,17:13:06
71,25 IUT 3,0,8,2026-07-01,17:13:06
72,57 Marché de la Pallice,5,8,2026-07-01,17:13:06
73,58 Digue du Bout Blanc,5,12,2026-07-01,17:13:06
74,61 Patte d'Oie,4,10,2026-07-01,17:13:06
75,62 Aquarium 2,2,10,2026-07-01,17:13:06
76,62 Aquarium 1,2,8,2026-07-01,17:13:06
77,63 08 mai 1945,2,14,2026-07-01,17:13:06
78,64 Aéroport,3,8,2026-07-01,17:13:06
79,65 Alstom,3,14,2026-07-01,17:13:06
80,66 Auberge de Jeunesse,5,10,2026-07-01,17:13:06
81,67 Beauregard,10,14,2026-07-01,17:13:06
82,68 Centre Commercial Beaulieu,5,10,2026-07-01,17:13:06
83,69 Centre social vent des lles,4,8,2026-07-01,17:13:06
84,70 Clinique de l'Atlantique,5,8,2026-07-01,17:13:06
85,71 Clos Margat,3,8,2026-07-01,17:13:06
86,72 Stade de Périgny,3,6,2026-07-01,17:13:06
87,73 Denfert Rochereau,4,8,2026-07-01,17:13:06
88,77 Gare d'Aytré,5,8,2026-07-01,17:13:06
89,56 Hôpital St Louis,8,10,2026-07-01,17:13:06
90,79 Les Corsaires,5,8,2026-07-01,17:13:06
91,80 La Pommeraie,5,8,2026-07-01,17:13:06
92,81 Lab Intech,5,10,2026-07-01,17:13:06
93,82 Lieutenant Bernier,3,8,2026-07-01,17:13:06
94,83 Lycée Hotelier,8,8,2026-07-01,17:13:06
95,84 Mairie d'Aytré,3,8,2026-07-01,17:13:06
96,85 Mairie de Lagord,2,8,2026-07-01,17:13:06
97,86 Musée Maritime,3,8,2026-07-01,17:13:06
98,87 Normandin,4,8,2026-07-01,17:13:06
99,88 Oiseaux de Mer,3,8,2026-07-01,17:13:06
100,90 Porte Royale,2,8,2026-07-01,17:13:06
